book_name,book_id,chapter_name,section_name,exercise,exercise_summary,page_number
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 11. Simulation of Advertising Campaigns' Success,"In a small marketing agency, two teams are working separately on advertising campaigns for different clients. Team Alpha is conducting an email marketing campaign, while Team Beta is focusing on a social media campaign. According to past analyses, the probability that Team Alpha's campaign meets its goal is P(A) = 0.6, while the probability for Team Beta’s campaign is",17
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 12. Risk Analysis in an Insurance Company,"In an insurance company, there are two independent risk assessments conducted to determine the coverage of a policy. The first assessment is based on the customer ’s creditworthiness, with a probability of passing of 0.8. The second assessment examines the claims history, with a probability of passing of 0.75. Calculate the probability that a customer passes both assessments and can therefore obtain the requested insurance coverage.",18
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 13. Analysis of Cross-Selling Operations in a Department Store,"In a department store, a section is analyzing customer purchase habits to improve cross-selling strategies. It is known that the probability that a customer buys an appliance is P(A) = 0.25, while the probability that they buy a furniture item is P(B) = 0.35. These two events are considered independent. Calculate the probability that a customer neither buys an appliance nor a furniture item during their visit.",19
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 14. Analysis of Advertising Sales,"A digital marketing company analyzed the response data to its email advertising campaigns in the last quarter. Out of a total of 25,000 emails sent, it recorded that 5,250 of these led recipients to visit the promotional website. Simultaneously, out of the emails sent, 1,200 resulted in a direct sale on the site. Based on this data, calculate the estimated probability that a randomly selected email recipient visits the promotional website and simultaneously makes a purchase. Present the result as a decimal value rounded to four decimal places.",20
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 1 Probability,General,Exercise 15. Employee Performance Evaluation through Internal Surveys,"A consulting firm manages a professional development program for its employees. In order to improve the program, anonymous satisfaction surveys are conducted among employees at the end of each quarter. In the last year, out of 800 distributed surveys, 600 were completed and returned by employees. Furthermore, 450 of these completed surveys express a positive evaluation of the program. Determine the estimated probability that a randomly chosen survey among the completed ones expresses a positive evaluation.",21
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.1 Mean Value,Exercise 16. Market Performance Analysis,"A technology company recorded its monthly revenue for an entire year, reporting the following data in thousands of euros: [50, 75, 60, 85, 90, 80, 95, 100, 70, 85, 110, 95]. The company's manager wants to know the average monthly revenue to evaluate last year's performance. Calculate the average monthly revenue using the provided data.",25
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.1 Mean Value,Exercise 17. Analysis of a Clothing Store's Sales,"A retail clothing store recorded daily sales for two consecutive weeks. The collected data are as follows: [1500, 1700, 1600, 1800, 2100, 1900, 2000, 1800, 1600, 2300, 2100, 1900, 2000, 2200] (in euros). The store manager wants to better understand the average daily sales to optimize inventory and improve marketing strategy. Calculate the average daily sales for the analyzed period using the provided data.",26
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.1 Mean Value,Exercise 18. Analysis of the Average Cost of Advertising Campaigns,"A digital marketing company launched several advertising campaigns for a range of products over the past quarter. The monthly costs for each campaign, expressed in thousands of euros, are recorded as follows: • Campaign 1: [4.5, 5.0, 4.7] • Campaign 2: [3.2, 3.8, 4.0] • Campaign 3: [5.5, 6.0, 5.8] • Campaign 4: [4.0, 3.9, 4.1] The financial director wants to get an overall view of the economic efficiency of the campaigns to optimize the budget and plan future investments. Calculate the average monthly cost of each campaign.",27
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.2 Standard Deviation,Exercise 19. Assessment of Product Stability,"Two companies, Alfa S.p.A. and Beta S.r.l., sell the same type of product with an average monthly revenue of 50,000 euros. However, the financial manager wants to identify which of the two products exhibits a more stable sales trend over time. Here are the data from the past six months: Alfa S.p.A.: [48000, 52000, 47500, 50500, 49500, 51500] Beta S.r.l.: [49000, 51000, 46000, 54000, 50000, 50000] Determine which product shows greater sales stability and explain why.",29
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.2 Standard Deviation,Exercise 20. Analysis of Daily Work Performance,"A consulting firm wants to assess the variation in daily productivity of its consultants. Management has collected data regarding the actual working hours of a consultant over a period of two working weeks (10 working days). The data collected are as follows: [7,8,7.5,8.5,7,9,6.5,8,7.5,8] Use this data to determine how the daily productivity of the consultant varies relative to the average. What conclusion can you reach regarding the consistency of his daily productivity?",30
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.2 Standard Deviation,Exercise 21. Employee Performance Analysis,"In a tech company, the software development department is monitoring the number of lines of code produced per developer on a weekly basis for an entire month. This data has been collected for five developers: Developer 1: [340, 360, 370, 350] Developer 2: [400, 380, 390, 410]",31
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.2 Standard Deviation,Exercise 22. Industrial Production Analysis,"A manufacturing company produces two types of components, A and B, which are then assembled into final products. The weekly production of A and B follows normal distributions with known means and standard deviations: pA = 1500 units, oA = 100 units, pe = 1000 units, and aB = 150 units. Additionally, it’s known that the covariance between the productions of A and B is cov(A,B) = 1200. Calculate the standard deviation of the total components produced weekly.",33
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.2 Standard Deviation,Exercise 23. Corporate Financial Risk Analysis,"A company in the financial sector manages two investment funds, Fund X and Fund Y. These funds invest in uncorrelated assets, so their returns can be considered independent. The annual volatility of Fund X’s return is ax = 0.08, while that of Fund Y is ay = 0.10. In a year, an investor wants to know how risky the combined total of returns from both funds is. Determine the overall standard deviation of the investor's final return.",35
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.2 Standard Deviation,Exercise 24. Analysis of Monthly Production Capacity Fluctuations,"A tech company produces two types of electronic components monthly, Components X and Y, which are then integrated into the devices sold. The monthly production of X and Y may vary",36
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.2 Standard Deviation,Exercise 25. Evaluate the Stability of an Investment Portfolio,"A company decides to evaluate the performance of a new investment fund. The monthly data from the last two years show the following monthly percentage returns for twelve consecutive months: [2.5, 3.2, 3.0, 2.8, 3.4, 2.9, 2.7, 3.1, 2.6, 3.3, 2.9, 3.0], The company wants to examine the average of the monthly returns and the standard deviation to determine the stability of the returns. The smaller the standard deviation relative to the mean, the greater the stability. Based on these calculations, briefly discuss whether the investment can be considered stable.",37
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.2 Standard Deviation,Exercise 26. Sales Variables Analysis,"An e-commerce company wants to analyze the sales performance of its products to assess the consistency of monthly sales. The sales data in euros for the first six months of the year are as follows: [5700, 6200, 6500, 5900, 5800, 6400], The company believes that a good assessment of sales consistency can be obtained by calculating an index that relates the average value of sales to their standard deviation. A higher value of this index indicates greater consistency in sales. Evaluate whether the sales can be considered consistent based on this index.",38
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.2 Standard Deviation,Exercise 27. Analysis of Company Production Performance,"A manufacturing company wants to analyze the efficiency of its electric motor production line. In the last six months, the monthly production in units has been: 1200, 1300, 1270, 1250, 1285, 1260. The company wishes to understand how stable the production process is. Managers believe that a numerical comparison can provide a clear indication: less variation from the mean suggests greater stability of the production process. Evaluate the stability of the production process based on this index.",40
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.3 Median Value,Exercise 28. Analysis of Company Compensation,"In a major consulting firm, the human resources team is evaluating employee salaries to determine if there are significant disparities between various departments. The following data on the annual salary (in thousands of euros) of employees in a particular department has been collected: [40, 45, 50, 55, 60, 65, 70] The HR manager wants to understand what the central value that best represents the salary situation of the department is. Calculate this value and discuss how it might reflect the salary distribution more accurately compared to other statistical summaries, such as the simple average.",41
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.3 Median Value,Exercise 29. Analysis of Delivery Times in an Online Stationery Store,"An online stationery store has recorded the delivery times (in days) of its orders in one state for the month of September. Here is the collected data: [2, 3, 3, 4, 4, 5, 7, 8, 10, 12, 15] The management wants to identify the central value of the delivery times to evaluate the overall efficiency of their logistics system. Determine this central value and discuss how it can provide a more accurate picture of the management system compared to other statistical summaries, considering the presence of outliers or exceptionally long times.",43
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.3 Median Value,Exercise 30. Analysis of Customer Service Times in a Call Center,"An international call center is analyzing response times to calls to improve customer service. Here are the recorded wait times (in minutes) during a peak period: [1, 2, 2, 3, 3, 3, 4, 5, 7, 10, 12, 15, 20] Management wants to understand what the typical wait time is to identify areas for immediate improvement and is seeking to establish a benchmark that is not influenced by exceptionally long waits due to rare unforeseen events. What is the value that best represents this time series, and how can it be used to guide the strategic decisions of the call center?",43
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.4 Percentiles,Exercise 31. Analysis of Response Times in a Contact Center,"An insurance company's contact center is evaluating the effectiveness of its operations to improve customer satisfaction. In particular, management wants to understand the risk associated with long response times during peak hours. A sample of response times (in seconds) was collected for calls made during the past month. The collected data are as follows: 38, 42, 35, 39, 45, 40, 37, 44, 41, 36, 38, 39, 43, 34, 37, 42, 38, 40, 36, 37 The objective is to understand up to what value the response times extend within which 95% of calls fall, to better plan personnel and ensure high service standards.",45
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.4 Percentiles,Exercise 32. Sales Performance Analysis of a Product,"A sportswear company is analyzing the sales performance of one of its flagship products, a technical jacket for outdoor activities, to understand how production might be optimized in the next season. During the last quarter, weekly sales data (in units) were collected at the chain's physical retail locations. The recorded weekly sales data are as follows: 120, 135, 140, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200. The management intends to determine the number of weekly sales above which only 25% of the weeks exist, to recognize strengths and weaknesses in the product ’s production and distribution chain.",46
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.4 Percentiles,Exercise 33. Customer Satisfaction Analysis in the Hospitality Industry,"A major hotel chain is looking to improve customer satisfaction and has collected data on customer satisfaction scores (on a scale of 1 to 10) for all its facilities in the last month. The recorded scores are as follows: 6,7,9,8,7,6,5,8,9,10,7,8,6,5,7,9,10,8,7,6,8,9,9,7,6 The management of the chain wants to identify the score below which 25% of the ratings fall, to pinpoint the hotels that require immediate improvement in the services offered.",47
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.5 Chebyshev's Inequality,Exercise 34. Analysis of Sales Fluctuations of Mass Consumer Products,"The company ABC S.p.A., active in the mass consumer goods sector, wants to monitor the consistency of the monthly sales of its main products. From the sales history of the last 5 years, analysts have calculated that on average, 10,000 units of product X are sold each month, with a standard deviation of 2.500 units. The board of directors is interested in knowing how frequently significant fluctuations from the average can occur since high variations in sales can influence supply decisions and marketing strategies. In particular, they want to estimate the absolute minimum and maximum sales threshold that can be expected in 2024, such that 90% of the months fall within this range. Knowing that no particular assumptions can be made about the data distribution, what estimate might the statistics team of ABC S.p.A. provide?",49
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.5 Chebyshev's Inequality,Exercise 35. Monitoring Inventory Fluctuations,"A tech company, TechWare, is looking to manage fluctuations in their inventory of graphics cards to meet the demand in the highly dynamic computer hardware market. Analysts have collected data over the past few years showing an average monthly stock level of 5000 units, with a standard deviation of 1200 units. The operations managers are concerned about the impact of inventory variations on production capacity and storage costs. They want to identify a monthly inventory safety range such that at least 85% of the time, the inventory levels remain within this range. Using historical data, what inventory range should TechWare consider?",51
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.5 Chebyshev's Inequality,Exercise 36. Management of Profit Margins,"The ItalFood company, specialized in the production and distribution of food products, wants to analyze the variability of monthly profit margins on its main products. From the analysis of historical data of the last 3 years, it emerges that the average profit margin is 15000 euros, with a standard deviation of 3000 euros. The management is concerned about the impacts that overly variable profit margins can have on investment decisions and wants to establish a safety margin. Specifically, they want to know what the range of monthly profit margins could be such that it can be stated with confidence that at least 95% of the months of the next year could have a profit margin within this interval. Provide an estimate based on historical data.",52
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.6 Identification of Outliers with IQR Method,Exercise 37. Quarterly Sales Analysis to Identify Anomalies,"In a company that produces construction materials, the data analysis team is reviewing the sales data of the last two years for each quarter. The quarterly data, in thousands of units, for various products are as follows: QuarterProduct AProduct BProduct C 01 23 45 12 Q2 26 47 15 Q3 28 49 11 Q4 29 52 14 QI 31 53 37 Q2 34 54 16 Q3 30 55 18 Q4 35 75 17 The team is tasked with identifying which numbers provided can be considered significant enough to cause concern or require further investigation by management. Use the provided data to identify any potential anomalies and indicate the calculation method and the values that are considered out of the ordinary for each product.",54
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.6 Identification of Outliers with IQR Method,Exercise 38. Analysis of Employee Overtime Hours,"In an IT service company, the human resources department is analyzing the overtime hours worked by employees over the last six months to determine if there are any significant irregularities. The monthly overtime hours for ten employees are as follows: EmployeejanFebMarAprMayJun 1 5 8103212 2 7 9116315 3 6 713842 4 9 1114960 5 10 1312750 6 4 10123225 7 8 86948 8 10 5812110 9 3 21443 10 7 98652 The task is to identify which employees are working disproportionate amounts of overtime in any given month, and if any anomalies might require preventive measures to avoid work overload.",56
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.6 Identification of Outliers with IQR Method,Exercise 39. Company Energy Efficiency Analysis,"An energy company is assessing the energy consumption efficiency of different sections of their production facilities. Corporate auditors have collected weekly data, expressed in thousands of kWh, related to consumption for four different sections over the past two months. Table 2.3: Energy ConsumptionWeekSection ISection 2Section 3Section 4 1 105 98 115 102 2 110 99 120 104 3 108 105 122 106 4 111 101 117 108 5 109 110 121 103 6 113 120 129 107 7 115 104 124 110 8 116 125 127 105 The team is tasked with determining which data among these are significantly different from the others, suggesting a need for more in-depth analysis. Identify the standout values and describe how to interpret them.",58
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.7 Pearson Correlation Coefficient,Exercise 40. Analysis of the relationship between sales and advertising,"An e- commerce company wants to understand the relationship between weekly advertising expenses and the sales generated through its online campaigns. Data was collected over 10 weeks, concerning advertising expenses in thousands of euros and sales in thousands of units generated. The collected data is as follows:",60
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.7 Pearson Correlation Coefficient,Exercise 41. Relationship between Training Hours and Employee Productivity,"A consulting company recently implemented a training program for its employees and wants to understand the impact of this program on productivity. Data were collected from seven departments of the company regarding the average number of monthly training hours per employee and average monthly productivity per employee, measured in output units. The collected data are as follows: DepartmentTraining Hours (average)Productivity A 10 200 B 15 220 C 22 240 D 25 260 E 31 280 F 35 300 G 40 320",62
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.7 Pearson Correlation Coefficient,Exercise 42. Relationship between Customer Satisfaction and Contract Renewal,A mobile phone service company wants to analyze the link between customer satisfaction,63
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.8 Spearman's Rank Correlation Coefficient,Exercise 43. Analysis of Sales and Product Reviews,A new startup is launching a range of electronic products and wants to understand the relationship between weekly sales and customer reviews left on the website. Data has been collected for ten,66
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.8 Spearman's Rank Correlation Coefficient,Exercise 44. Performance Analysis of Marketing Campaigns,"A multinational company in the food sector is evaluating the effectiveness of its digital advertising campaigns. The company has collected data on the performance of 8 recent campaigns, measuring their budget (in thousands of euros) and perceived efficiency score. Each campaign was evaluated by a panel of experts who assigned a score from 1 to 10 based on public impact and return on investment. The data collected is as follows: CampaignBudget (x)Score (y) 1 120 8 2 100 6 3 150 9 4 80 5 5 200 8 6 50 4 7 170 8 8 130 7 Table 2.9: Budgets and scores. The company's goal is to understand the correlation between the invested budget in the campaigns and the efficiency score perceived by the experts.",69
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 2 Descriptive Statistics,2.8 Spearman's Rank Correlation Coefficient,Exercise 45. Assessment of the Relationship Between Social Media Engagement and Web Traffic,"An e-commerce company wants to explore the effectiveness of its social media presence in generating traffic to its website. The analytics team collected data over seven consecutive weeks, measuring engagement on social posts (in hundreds of interactions such as likes, comments, and shares) and the corresponding web traffic generated (in thousands of average daily visits). The collected data are: WeekSocial Engagement (x)Web Traffic (y) 1 10 8 2 15 13",69
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 3 Regression Analysis,3.1 Linear Regression,Exercise 46. Demand Analysis and Forecast for a New Product,"A technology company has recently launched a new electronic device onto the market. To optimize production and distribution, the data analysis department wants to examine how the product ’s price affects the weekly demand. Here are the data for the first 12 weeks of sales: WeekPrice (euro)Sales (units) 1 250 400 2 220 450 3 210 470 4 240 420 5 260 370 6 230 440 7 225 460 8 235 430",75
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 3 Regression Analysis,3.1 Linear Regression,Exercise 47,"Analysis of Production Time to Optimize the Output A clothing manufacturing company is aiming to improve efficiency on its production lines. Analysts have collected data on the total working time (in minutes) for each batch produced and the number of garments delivered in that timeframe, obtaining the following information: DayWorking Time (minutes)Garments Delivered 1350 150 2300 180 3400 130 4320 170",77
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 3 Regression Analysis,3.1 Linear Regression,Exercise 48,"Forecasting Future Sales Based on Past Expansion Trends An e- commerce company wants to estimate the number of new customers it will attract in the coming months thanks to a series of expansion initiatives already implemented. Over the past two years, the company has tracked the number of initiatives launched and the new customers acquired each quarter. The data is reported in the table below: Initiatives (number)New Customers (units) 1 120 3 330 4 480 6 620 8 790 Table 3.3: Initiatives and new customers. Use these data to estimate how many new customers the company could acquire in the next quarter if it plans to launch 5 new initiatives.",79
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 3 Regression Analysis,3.1 Linear Regression,Exercise 49,Employee Performance Prediction A technology company aims to discern how an employee's work experience influences their internally assessed performance. The company has collected data on employees that includes their job tenure and their annual performance score. The collected data is: Table 3.4: Experience and performance.Experience (years)Performance (score) 1 50 3 67 5 78 6 82 8 90 The company wants to predict the performance score of an employee with 7 years of experience. Use the provided data to estimate this score.,81
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 3 Regression Analysis,3.2 Exponential Regression,Exercise 50,"Growth of a Tech Startup A technology startup is analyzing its monthly growth in active users. In the first month, the startup had 100 active users. In the following five months, the number of active users grew to 150, 225, 337, 506, and 759 respectively. The CEO wants to establish a model that represents the growth rate of the user base over time and plans to use this model to project the number of users in the coming year. What is the most suitable mathematical model to describe the user growth? Calculate the projections for the seventh month and discuss whether the growth rate will remain sustainable in the long term.",83
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 3 Regression Analysis,3.2 Exponential Regression,Exercise 51,"Forecasting Sales of a New Mobile App A company developing mobile applications has recently launched a new fitness app. In the eight months following the launch, the monthly sales in thousands of units were: 200, 290, 421, 612, 889, 1291, 1874, 2716.",84
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 3 Regression Analysis,3.2 Exponential Regression,Example 52,"Analyzing Market Growth in an Innovative Sector A technology company called TechGrowth Inc. is analyzing the growth of its business volume over the past 5 years to plan its expansion strategy for the next 3 years. The historical revenue data, in millions of euros, is shown in the following table: Year Revenue (millions of euros) 201810 201911.5 202013.2 202115.1 202217.25 Table 3.5: Annual revenue. The management wants to forecast the revenue for the years 2023, 2024, and 2025. Using the available data, determine a possible growth model using an extrapolation method based on an appropriate regression model and calculate projections for the coming years.",86
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 3 Regression Analysis,3.2 Exponential Regression,Exercise 53,"Projection of Solar Energy Demand for a Company The company SolarWave Energy specializes in providing solar panels for private homes. Over the past 6 years, it has observed a trend in the number of annual installations that provides a solid basis for planning the future. The installation data (number of units) is as follows: Year Number of Installations 2016150 2017180 2018220 2019270 2020330 2021400 Table 3.6: Trend of the Number of Installations. The management wants to estimate the number of projected installations for the years 2022, 2023, and 2024 to plan the production and procurement of necessary materials. Use the available data to construct an appropriate projection model and calculate future estimates.",88
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 4 Conditional Probability,General,Exercise 54,"Analysis of a Product's Sales Forecasts A consumer electronics company is analyzing the performance of a new smartphone model launched in the market. The company wants to understand the effectiveness of its sales forecasts and the role of a specific advertising channel. After an analysis, the company collects the following data: • 70% of the sales forecasts turned out to be correct. • 20% of the correct forecasts were supported by social media advertising campaigns. • Overall, 30% of the actual sales are attributable to social media advertising campaigns. Management wants to know what is the probability that a sale supported by a social media advertising campaign was correctly forecasted.",90
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 4 Conditional Probability,General,Exercise 55. Analysis of the Effectiveness of a Retargeting Strategy,"An e- commerce company is evaluating the effectiveness of its retargeting campaign. The marketing managers want to understand how effective it is in converting site visitors into buyers. After collecting the data, the company observed that: • 60% of site visitors viewed retargeting ads. • Among those who saw the retargeting ads, 25% made a purchase. • Overall, 20% of site visitors made a purchase. Management wants to determine the probability that a visitor who made a purchase saw the retargeting ads. Solution",91
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 4 Conditional Probability,General,Exercise 56. Corporate Risk Analysis in the Insurance Sector,"An insurance company wants to analyze the risk of claims for customers who have auto insurance. After analyzing historical data, the company gathers the following information: • 10% of customers are involved in an accident annually. • 5% of customers are classified as high-risk. • 30% of high-risk customers had at least one accident in the past year. The company wants to know the probability that a customer who has had an accident belongs to the high-risk category.",92
Statistics with Python. 100 solved exercises for Data Analysis,stats_py_malato_2025,Chapter 4 Conditional Probability,General,Exercise 57. Production Analysis of a Manufacturing Plant,"A factory produces electronic components, including printed circuits, and wants to analyze the production process. The management has decided to focus on the product quality associated with a particular supplier of materials. • 12% of the components produced are defective. • 8% of the components were produced using materials from a specific supplier. • 20% of the defective components were produced with materials from the specified supplier. The management aims to determine the probability that a component produced with materials from the supplier is defective. Solution",94
