exam_code,part_id,part_title,question_id,question_type,question_text,option_a,option_b,option_c,option_d,notes
GL-DT105,I,Giáo lý,17,single_choice,"Bí tích Rửa tội có cần thiết không?","Không vào Nước Trời nếu không sinh bởi nước và Thánh Thần.","Là cửa ngõ vào Hội Thánh.","Vừa là cửa ngõ vừa theo lời Chúa dạy.","Tất cả đều đúng",""
GL-DT105,I,Giáo lý,18,single_choice,"Bí tích Thánh Thể là gì?","Bánh rượu trở nên Mình Máu Chúa.","Ban ơn Chúa Thánh Thần.","Vừa ban Thánh Thể vừa ban Thánh Thần.","Tất cả đều đúng",""
GL-DT105,I,Giáo lý,19,single_choice,"Phải tham dự Thánh lễ thế nào?","Tích cực, nghiêm trang, sốt sắng.","Hiệp lòng với cộng đoàn.","Tập trung, tránh phân tâm.","Tất cả đều đúng",""
GL-DT105,I,Giáo lý,20,single_choice,"Muốn lãnh nhận Bí tích Giải tội phải làm gì?","Xét mình, ăn năn, đền tội.","Ăn năn và quyết tâm chừa.","Xét mình, ăn năn, xưng tội, đền tội.","Xét mình, ăn năn, xưng tội, đền tội",""
GL-DT105,II,Lời Chúa,21,fill_blank,"Ngôi Lời đã làm người và ... chúng ta.","Sống cùng","Ở giữa","Nên giống","Cả A, B và C","Ga 1,14"
GL-DT105,II,Lời Chúa,22,fill_blank,"Hiện nay, Đức Tin, Đức Cậy, Đức Mến đều tồn tại, nhưng ... là Đức Mến.","Cao trọng hơn","Quan trọng hơn","Cần thiết hơn","Cả A, B và C","1Cr 13,13"
GL-DT105,III,Kinh nguyện,23,fill_blank,"Sáng danh Đức Chúa Cha... Như đã có trước ...","Muôn đời","Vô cùng","Lâu đời","Tất cả đều sai",""
GL-DT105,III,Kinh nguyện,24,fill_blank,"Bấy nhiêu điều ấy cùng các điều Hội Thánh dạy thì con ...","Xin vững vàng","Tin chắc rằng","Tin vững vàng","Tất cả đều đúng",""
GL-DT105,III,Kinh nguyện,25,fill_blank,"Lạy Chúa... mà cho Con Chúa ...","Xuống trần","Xuống đời","Ra đời","Tất cả đều đúng",""
GL-DT105,IV,Kinh Tin Kính,26,fill_blank,"Bởi phép ... mà Người xuống thai, sinh bởi Bà Maria đồng trinh","Đức Chúa Trời","Các Thánh Thiên Thần","Đức Chúa Thánh Thần","Tất cả đều đúng",""
GL-DT105,IV,Sáu Điều Răn,27,fill_blank,"Thứ hai: ... việc xác ngày Chúa Nhật cùng các ngày lễ buộc","Chớ làm","Cứ làm","Hãy làm","Tất cả đều đúng",""
GL-DT105,IV,Cải Tội Bảy Mối,28,fill_blank,"Thứ nhất: Khiêm nhường ...","Hãy kiêu ngạo","Cứ kiêu ngạo","Chớ kiêu ngạo","Tất cả đều sai",""
GL-DT105,IV,Tự luận,29,essay,"Giáo Hội Công Giáo cấm phá thai dưới mọi hình thức. Anh/chị hãy viết khoảng 200 chữ trình bày quan điểm của mình.",,,,"","Tự luận"
